data,numero_spedizioni
2022-04-20,394241
2022-04-21,377154
2022-04-22,341933
2022-04-23,184
2022-04-24,22
2022-04-25,1125
2022-04-26,558122
2022-04-27,426825
2022-04-28,389539
2022-04-29,347539
2022-04-30,80
2022-05-01,0
2022-05-02,486630
2022-05-03,429034
2022-05-04,405838
2022-05-05,381772
2022-05-06,348117
2022-05-07,149
2022-05-08,29973
2022-05-09,483152
2022-05-10,411511
2022-05-11,376158
2022-05-12,366771
2022-05-13,340492
2022-05-14,69
2022-05-15,26439
2022-05-16,456068
2022-05-17,405664
2022-05-18,387808
2022-05-19,371062
2022-05-20,309278
2022-05-21,142
2022-05-22,35111
2022-05-23,476648
2022-05-24,402615
2022-05-25,379946
2022-05-26,327401
2022-05-27,337624
2022-05-28,132
2022-05-29,31078
2022-05-30,476070
2022-05-31,392058
2022-06-01,365754
2022-06-02,1341
2022-06-03,354975
2022-06-04,30
2022-06-05,28081
2022-06-06,456928
2022-06-07,410194
2022-06-08,384272
2022-06-09,379208
2022-06-10,342343
2022-06-11,104
2022-06-12,25578
2022-06-13,459825
2022-06-14,391940
2022-06-15,378321
2022-06-16,340694
2022-06-17,320421
2022-06-18,131
2022-06-19,29291
2022-06-20,446496
2022-06-21,392248
2022-06-22,369090
2022-06-23,349427
2022-06-24,318921
2022-06-25,165
2022-06-26,28469
2022-06-27,435952
2022-06-28,375386
2022-06-29,350813
2022-06-30,330964
2022-07-01,324039
2022-07-02,107
2022-07-03,33328
2022-07-04,458481
2022-07-05,391400
2022-07-06,371766
2022-07-07,350357
2022-07-08,322857
2022-07-09,291
2022-07-10,34378
2022-07-11,440382
2022-07-12,386791
2022-07-13,382024
2022-07-14,351440
2022-07-15,338241
2022-07-16,205
2022-07-17,26213
2022-07-18,441515
2022-07-19,379152
2022-07-20,335664
2022-07-21,354539
2022-07-22,318392
2022-07-23,93
2022-07-24,34783
2022-07-25,422091
2022-07-26,379221
2022-07-27,353079
2022-07-28,335434
2022-07-29,304159
2022-07-30,115
2022-07-31,29480
2022-08-01,410259
2022-08-02,367957
2022-08-03,331582
2022-08-04,318746
2022-08-05,277376
2022-08-06,68
2022-08-07,22180
2022-08-08,328323
2022-08-09,265717
2022-08-10,229498
2022-08-11,208846
2022-08-12,170892
2022-08-13,44
2022-08-14,0
2022-08-15,1
2022-08-16,272241
2022-08-17,220938
2022-08-18,184027
2022-08-19,176924
2022-08-20,115
2022-08-21,21028
2022-08-22,323898
2022-08-23,290264
2022-08-24,273518
2022-08-25,258298
2022-08-26,246088
2022-08-27,83
2022-08-28,20615
2022-08-29,390312
2022-08-30,351685
2022-08-31,333878
2022-09-01,333176
2022-09-02,330456
2022-09-03,137
2022-09-04,26458
2022-09-05,440272
2022-09-06,384249
2022-09-07,362390
2022-09-08,337098
2022-09-09,317696
2022-09-10,122
2022-09-11,21807
2022-09-12,446330
2022-09-13,383509
2022-09-14,360822
2022-09-15,352755
2022-09-16,332302
2022-09-17,216
2022-09-18,24911
2022-09-19,455976
2022-09-20,395870
2022-09-21,372151
2022-09-22,354888
2022-09-23,334042
2022-09-24,145
2022-09-25,21236
2022-09-26,459849
2022-09-27,400254
2022-09-28,376781
2022-09-29,361522
2022-09-30,332488
2022-10-01,112
2022-10-02,26942
2022-10-03,470140
2022-10-04,405355
2022-10-05,384993
2022-10-06,382833
2022-10-07,357094
2022-10-08,130
2022-10-09,25969
2022-10-10,464661
2022-10-11,424581
